,date,business loan,isPartial
146,2018-10-21,5.36764705882353,False
147,2018-10-28,5.36764705882353,False
148,2018-11-04,5.073529411764706,False
149,2018-11-11,4.926470588235294,False
150,2018-11-18,4.1911764705882355,False
151,2018-11-25,5.36764705882353,False
152,2018-12-02,5.514705882352941,False
153,2018-12-09,5.514705882352941,False
154,2018-12-16,5.0,False
155,2018-12-23,4.411764705882353,False
156,2018-12-30,4.852941176470589,False
157,2019-01-06,5.294117647058823,False
158,2019-01-13,5.294117647058823,False
159,2019-01-20,5.220588235294118,False
160,2019-01-27,5.588235294117648,False
161,2019-02-03,5.588235294117648,False
162,2019-02-10,5.4411764705882355,False
163,2019-02-17,5.294117647058823,False
164,2019-02-24,5.514705882352941,False
165,2019-03-03,5.36764705882353,False
166,2019-03-10,5.220588235294118,False
167,2019-03-17,5.220588235294118,False
